unique_id_l,source_dataset_l,unique_id_r,source_dataset_r,clerical_match_score
554,fake_1000,560,fake_1000,1.0
9,fake_1000,47,fake_1000,0.0
855,fake_1000,857,fake_1000,1.0
254,fake_1000,257,fake_1000,1.0
28,fake_1000,36,fake_1000,0.0
712,fake_1000,714,fake_1000,1.0
324,fake_1000,325,fake_1000,1.0
588,fake_1000,591,fake_1000,1.0
4,fake_1000,29,fake_1000,0.0
218,fake_1000,219,fake_1000,1.0
360,fake_1000,362,fake_1000,1.0
885,fake_1000,886,fake_1000,1.0
274,fake_1000,277,fake_1000,1.0
493,fake_1000,496,fake_1000,1.0
15,fake_1000,28,fake_1000,0.0
10,fake_1000,37,fake_1000,0.0
798,fake_1000,804,fake_1000,1.0
9,fake_1000,28,fake_1000,0.0
915,fake_1000,916,fake_1000,1.0
12,fake_1000,48,fake_1000,0.0
15,fake_1000,40,fake_1000,0.0
10,fake_1000,29,fake_1000,0.0
33,fake_1000,39,fake_1000,0.0
755,fake_1000,761,fake_1000,1.0
511,fake_1000,512,fake_1000,1.0
535,fake_1000,536,fake_1000,1.0
856,fake_1000,857,fake_1000,1.0
213,fake_1000,219,fake_1000,1.0
740,fake_1000,741,fake_1000,1.0
850,fake_1000,853,fake_1000,1.0
5,fake_1000,27,fake_1000,0.0
99,fake_1000,100,fake_1000,1.0
371,fake_1000,373,fake_1000,1.0
211,fake_1000,212,fake_1000,1.0
737,fake_1000,739,fake_1000,1.0
300,fake_1000,301,fake_1000,1.0
31,fake_1000,39,fake_1000,0.0
276,fake_1000,280,fake_1000,1.0
34,fake_1000,38,fake_1000,0.0
13,fake_1000,27,fake_1000,0.0
30,fake_1000,38,fake_1000,0.0
768,fake_1000,769,fake_1000,1.0
503,fake_1000,505,fake_1000,1.0
975,fake_1000,976,fake_1000,1.0
2,fake_1000,8,fake_1000,0.0
12,fake_1000,19,fake_1000,0.0
28,fake_1000,45,fake_1000,0.0
416,fake_1000,419,fake_1000,1.0
715,fake_1000,721,fake_1000,1.0
531,fake_1000,532,fake_1000,1.0
4,fake_1000,7,fake_1000,0.0
4,fake_1000,9,fake_1000,0.0
14,fake_1000,30,fake_1000,0.0
0,fake_1000,18,fake_1000,0.0
853,fake_1000,854,fake_1000,1.0
5,fake_1000,34,fake_1000,0.0
859,fake_1000,860,fake_1000,1.0
9,fake_1000,38,fake_1000,0.0
663,fake_1000,666,fake_1000,1.0
337,fake_1000,338,fake_1000,1.0
929,fake_1000,930,fake_1000,1.0
569,fake_1000,570,fake_1000,1.0
20,fake_1000,36,fake_1000,0.0
808,fake_1000,809,fake_1000,1.0
5,fake_1000,11,fake_1000,0.0
5,fake_1000,28,fake_1000,0.0
20,fake_1000,41,fake_1000,0.0
25,fake_1000,31,fake_1000,0.0
9,fake_1000,48,fake_1000,0.0
867,fake_1000,868,fake_1000,1.0
808,fake_1000,811,fake_1000,1.0
10,fake_1000,45,fake_1000,0.0
37,fake_1000,42,fake_1000,1.0
836,fake_1000,839,fake_1000,1.0
93,fake_1000,94,fake_1000,1.0
780,fake_1000,781,fake_1000,1.0
842,fake_1000,843,fake_1000,1.0
258,fake_1000,259,fake_1000,1.0
29,fake_1000,44,fake_1000,0.0
738,fake_1000,741,fake_1000,1.0
33,fake_1000,47,fake_1000,0.0
989,fake_1000,991,fake_1000,1.0
899,fake_1000,901,fake_1000,1.0
14,fake_1000,18,fake_1000,0.0
80,fake_1000,84,fake_1000,1.0
119,fake_1000,121,fake_1000,1.0
2,fake_1000,45,fake_1000,0.0
277,fake_1000,280,fake_1000,1.0
37,fake_1000,48,fake_1000,0.0
149,fake_1000,151,fake_1000,1.0
354,fake_1000,357,fake_1000,1.0
9,fake_1000,44,fake_1000,0.0
0,fake_1000,45,fake_1000,0.0
2,fake_1000,40,fake_1000,0.0
35,fake_1000,40,fake_1000,0.0
923,fake_1000,925,fake_1000,1.0
10,fake_1000,23,fake_1000,0.0
3,fake_1000,38,fake_1000,0.0
184,fake_1000,185,fake_1000,1.0
279,fake_1000,280,fake_1000,1.0
21,fake_1000,47,fake_1000,0.0
619,fake_1000,622,fake_1000,1.0
23,fake_1000,31,fake_1000,0.0
9,fake_1000,19,fake_1000,0.0
238,fake_1000,242,fake_1000,1.0
849,fake_1000,854,fake_1000,1.0
13,fake_1000,19,fake_1000,0.0
6,fake_1000,17,fake_1000,0.0
510,fake_1000,512,fake_1000,1.0
12,fake_1000,45,fake_1000,0.0
835,fake_1000,836,fake_1000,1.0
143,fake_1000,145,fake_1000,1.0
6,fake_1000,37,fake_1000,0.0
72,fake_1000,73,fake_1000,1.0
35,fake_1000,43,fake_1000,0.0
25,fake_1000,46,fake_1000,0.0
160,fake_1000,163,fake_1000,1.0
128,fake_1000,129,fake_1000,1.0
7,fake_1000,17,fake_1000,0.0
798,fake_1000,799,fake_1000,1.0
617,fake_1000,621,fake_1000,1.0
22,fake_1000,35,fake_1000,0.0
274,fake_1000,280,fake_1000,1.0
533,fake_1000,536,fake_1000,1.0
5,fake_1000,41,fake_1000,0.0
342,fake_1000,343,fake_1000,1.0
4,fake_1000,18,fake_1000,0.0
37,fake_1000,40,fake_1000,1.0
13,fake_1000,37,fake_1000,0.0
97,fake_1000,99,fake_1000,1.0
909,fake_1000,910,fake_1000,1.0
4,fake_1000,33,fake_1000,0.0
19,fake_1000,21,fake_1000,0.0
8,fake_1000,13,fake_1000,0.0
517,fake_1000,520,fake_1000,1.0
946,fake_1000,947,fake_1000,1.0
178,fake_1000,180,fake_1000,1.0
229,fake_1000,231,fake_1000,1.0
1,fake_1000,5,fake_1000,0.0
259,fake_1000,262,fake_1000,1.0
1,fake_1000,4,fake_1000,0.0
3,fake_1000,30,fake_1000,0.0
1,fake_1000,16,fake_1000,0.0
427,fake_1000,431,fake_1000,1.0
523,fake_1000,525,fake_1000,1.0
451,fake_1000,456,fake_1000,1.0
11,fake_1000,35,fake_1000,0.0
213,fake_1000,214,fake_1000,1.0
392,fake_1000,393,fake_1000,1.0
2,fake_1000,26,fake_1000,0.0
370,fake_1000,372,fake_1000,1.0
924,fake_1000,925,fake_1000,1.0
25,fake_1000,28,fake_1000,1.0
14,fake_1000,32,fake_1000,0.0
1,fake_1000,23,fake_1000,0.0
982,fake_1000,983,fake_1000,1.0
12,fake_1000,29,fake_1000,0.0
5,fake_1000,25,fake_1000,0.0
207,fake_1000,210,fake_1000,1.0
226,fake_1000,227,fake_1000,1.0
4,fake_1000,44,fake_1000,0.0
162,fake_1000,164,fake_1000,1.0
